California,1962,158523,348373,15598,16970000,,
California,1963,175703,384289,16458,17590000,,
California,1964,196883,427960,18667,18084000,,
California,1965,225007,444217,21081,18602000,,
California,1966,241666,474122,22317,18918000,,
California,1967,276958,526477,28539,19153000,,
California,1968,316081,582838,36991,19221000,,
California,1969,325891,638249,39240,19443000,,
California,1970,349788,682811,41277,19953134,,
California,1971,392277,711417,47626,20223000,,
California,1972,398960,663568,48829,20468000,,
California,1973,407824,643488,49531,20601000,,
California,1974,433194,737067,52822,20907000,,
California,1975,469726,784639,59827,21185000,,
California,1976,467980,806086,59318,21520000,,
California,1977,468452,766317,62852,21896000,,
California,1978,488966,777783,68235,22294000,,
California,1979,496310,847148,75767,22696000,,
California,1980,545138,913070,90420,23532680,,
California,1981,540806,921939,93781,24159000,,
California,1982,499466,935831,91988,24724000,,
California,1983,460460,867123,85826,25174000,,
California,1984,443094,857328,83924,25622000,,
California,1985,448506,890967,86387,26365000,,
California,1986,457698,913004,92512,26981000,,
California,1987,419969,896335,83341,27663000,,
California,1988,407631,933636,86141,28168000,,
California,1989,410468,972603,96431,29063000,,
California,1990,400392,951580,112208,29760021,,
California,1991,424656,986120,124939,30380000,,
California,1992,427491,968534,130897,30867000,,
California,1993,414182,945407,126436,31211000,,
California,1994,384257,929640,112160,31431000,,
California,1995,353895,902456,104611,31589000,,
California,1996,312212,830457,94222,31878000,,
California,1997,299240,784405,81468,32268000,,
California,1998,269012,724262,68782,32667000,,
California,1999,223814,660991,60039,33145121,,
California,2000,222293,651855,60249,33871648,,
California,2001,232273,697739,64614,34600463,,
California,2002,238428,715692,64968,35001986,,
California,2003,242274,731486,63770,35462712,,
California,2004,245903,728687,61768,35842038,,
California,2005,250521,692467,63622,36154147,,
California,2006,247230,669103,71142,36457549,,
California,2007,237850,654526,70706,36553215,,
California,2008,237811,650656,69388,36756666,,
California,2009,230198,615402,64093,36961664,,
California,2010,228857,600558,58116,37338198,,
California,2011,230075,596905,54291,37683933,,
California,2012,245767,635090,56521,38041430,,
California,2013,232058,621557,53640,38332521,,
California,2014,202670,592670,48680,38802500,,
California,2015,197404,656517,52862,39144818,,
California,2016,188304,637010,54789,39250017,,
California,2017,176690,642033,56622,39536653,,
California,2018,164632,621775,54326,39557045,,
California,2019,152555,626802,52301,39512223,,
Colorado,1960,9996,21949,1362,1753947,,
Colorado,1961,11681,23551,1633,1781000,,
Colorado,1962,12988,28740,1624,1907000,,
Colorado,1963,13149,30465,1340,1961000,,
Colorado,1964,13367,31829,1323,1966000,,
Colorado,1965,12817,32532,1073,1969000,,
Colorado,1966,14057,36205,1064,1977000,,
Colorado,1967,15590,39885,1342,1975000,,
Colorado,1968,18780,46326,1977,2048000,,
Colorado,1969,23798,53743,2324,2100000,,
Colorado,1970,30481,66043,2849,2207259,,
Colorado,1971,33104,71423,3080,2283000,,
Colorado,1972,37242,71154,3332,2357000,,
Colorado,1973,38963,70931,3970,2437000,,
Colorado,1974,46005,83722,4137,2496000,,
Colorado,1975,50710,94873,4412,2534000,,
Colorado,1976,48558,104443,3608,2583000,,
Colorado,1977,50684,102225,4471,2619000,,
Colorado,1978,49917,106185,4251,2670000,,
Colorado,1979,49741,117898,4353,2772000,,
Colorado,1980,58455,124514,4608,2878407,,
Colorado,1981,60197,129658,4726,2963000,,
Colorado,1982,53260,134873,4587,3045000,,
Colorado,1983,48101,133271,3968,3139000,,
Colorado,1984,49619,128859,3623,3178000,,
Colorado,1985,56480,137868,4012,3231000,,
Colorado,1986,58531,138219,4731,3267000,,
Colorado,1987,50580,132266,3916,3296000,,
Colorado,1988,45503,128331,3250,3290000,,
Colorado,1989,41475,128195,2984,3317000,,
Colorado,1990,39822,128172,2985,3294394,,
Colorado,1991,39117,132717,3628,3377000,,
Colorado,1992,37853,131169,4180,3470000,,
Colorado,1993,36011,124787,4160,3566000,,
Colorado,1994,33843,127600,3910,3656000,,
Colorado,1995,35001,136184,3604,3747000,,
Colorado,1996,34436,130576,3755,3823000,,
Colorado,1997,30994,119801,3242,3893000,,
Colorado,1998,31231,115871,3238,3971000,,
Colorado,1999,26979,109228,3056,4056133,,
Colorado,2000,27133,112843,3034,4301261,,
Colorado,2001,28533,121360,3555,4430989,,
Colorado,2002,31678,125193,3579,4501051,,
Colorado,2003,32394,124496,3738,4547633,,
Colorado,2004,33010,123308,3739,4601821,,
Colorado,2005,34746,127602,3948,4663295,,
Colorado,2006,32411,110372,3824,4753377,,
Colorado,2007,28633,100519,3461,4861515,,
Colorado,2008,28054,97937,3404,4939456,4.8,237094
Colorado,2009,26637,95079,3371,5024748,7.3,366807
Colorado,2010,26196,97534,3164,5047692,8.7,439149
Colorado,2011,25725,96054,3299,5116302,8.4,429769
Colorado,2012,26157,101021,3395,5187582,7.9,409819
Colorado,2013,25081,102443,3151,5268367,6.9,363517
Colorado,2014,23472,99464,3039,5355866,5.0,267793
Colorado,2015,23454,104682,3323,5456574,3.9,212806
Colorado,2016,23903,108336,3528,5540545,3.2,177297
Colorado,2017,22813,106809,3838,5607154,2.7,151393
Colorado,2018,21371,109119,3797,5695564,3.3,187954
